rowid,topic,subtopic,text,answer,stars
11,Key Responsibilities,Innovation,Stay updated with the latest developments in R programming and data science to bring innovative solutions to the team.,"I like to follow Posit blogs and follow some people who talk about certain trends, like Hadley himself, who is always posting on LinkedIn.",5
12,Required Qualifications,Experience,Minimum of 5 years of professional experience in R development.,I have 15 years of professional experience in R development.,5
13,Required Qualifications,Education,"Bachelor’s or Master’s degree in Computer Science, Data Science, Statistics, or a related field.",I have a degree in Statistics and a master's degree in Engineering with an emphasis on Machine Learning.,5
14,Technical Skills,NA,"Proficiency in R programming language and its core packages (dplyr, ggplot2, tidyr, etc.).","I feel extremely comfortable with the Tidyverse packages and other commonly used ones, such as:
- **Tables**: gt (static) and reactable (dynamic).
- **Charts**: in addition to ggplot2 (which is usually my first tool for finding the right visualization), I use Highcharter a lot. When Highcharter irritates me for some reason, Apexcharter or eCharts usually solve the problem.
- **Dashboard**: I’ve used bslib and bs4dash for dashboards, but my favorite has long been Flexdashboard for its simplicity and because I really like the one-page concept.",5
15,Technical Skills,NA,Experience building apps with Shiny is a must.,"I have experience with shiny since 2013. I have created dashboards in production, reading and writing data in the database, with complex filters, loading images and videos, highly customizable via CSS, with group access control, among other features.",4
16,Technical Skills,NA,Understanding about software development and intermediate knowledge of HTML and CSS.,"I know enough HTML and CSS to customize tables, charts, and dashboards. I also use it to scrape data from web pages.",3
17,Technical Skills,NA,Strong understanding of statistical methods and data analysis techniques.,"This is where I like to be. My skill lies in tapping into data, organizing it, and producing knowledge that helps produce useful insights. And, of course, then measuring the impact of decisions generated from these insights.",5
18,Technical Skills,NA,"Experience with version control systems (e.g., Git).","My experience with Git is that of a basic user. I've never needed to do anything other than init, status, add, commit, push, or pull.",3
19,Technical Skills,Analytical Skills,Excellent problem-solving skills with the ability to interpret complex data and provide actionable insights.,"Again, this is the environment that I like and that motivates me.",4
20,Technical Skills,Adaptability,Comfortable exploring and adopting new libraries or frameworks as needs demand.,No problem here.,5
21,Technical Skills,Adaptability,Eager to participate in innovation towards new solutions to existing problems,Looks very interesting.,5
22,Technical Skills,Adaptability,Ability to work in a fast-paced environment and manage multiple projects simultaneously.,"I have a good ability to work on different fronts at the same time, as long as there is quality time to carry out all tasks as expected.",4
23,Preferred Qualifications,NA,"Experience interacting with big data technologies (e.g., Hadoop, Spark) through R/Python.",I use Python when I need to but I'm not as fast and deep as I am in R. I've never needed to use hadoop and I've used spark within Python with pyspark.,3
24,Preferred Qualifications,NA,Knowledge of machine learning algorithms and frameworks.,I believe I have a good understanding of this. But there's always more to learn in Statistical Modeling and Machine Learning.,4
25,Preferred Qualifications,NA,"Strong verbal and written communication skills, with the ability to explain technical concepts to non-technical stakeholders.","I believe I have excellent communication skills, including translating from business to technical and technical to business. However, this ability is less effective when I need to do this in English, as it's not my native language. I recently took an assessment of my English level and was rated at B2. The text in the answer column has been revised several times to ensure accuracy.",3
26,Preferred Qualifications,NA,Proven experience in leading projects and mentoring junior team members.,"I enjoy interacting with more junior professionals. Everyone is at a different professional stage, and this should be respected and encouraged. I've been fortunate to have great leaders throughout my career, and this has propelled me forward in many ways.",5
27,Benefits,NA,100% Remote Work.,This is very good.,NA
28,Benefits,NA,Salary in USD!,This is really good.🤑,NA
29,Benefits,NA,Get to work on challenging projects for the U.S!,For me this is the best benefit.,NA
